ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20230026260,5/9/2023,09:00:00,1,Collision with vehicle,2,Tuesday,130,REAR END(VEHICLES IN SAME LANE),2,786399,Not at intersection,3,80,Freeway
T20230020820,5/9/2023,23:05:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,54438,Cross intersection,3,60,Arterial Highway
T20230020819,5/9/2023,20:50:00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),5,782494,Not at intersection,2,80,Local Road
T20230021490,5/9/2023,07:30:00,1,Collision with vehicle,2,Tuesday,122,LEFT THROUGH,2,780951,T intersection,3,80,Arterial Other
T20230020814,5/9/2023,15:50:00,1,Collision with vehicle,3,Tuesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,790360,Not at intersection,3,50,Arterial Highway
T20230020812,5/9/2023,18:50:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,799683,Not at intersection,2,60,Arterial Other
T20230020810,5/9/2023,17:20:00,1,Collision with vehicle,3,Tuesday,154,PULLING OUT -REAR END,2,784073,Not at intersection,2,100,Local Road
T20230020800,5/9/2023,17:08:00,1,Collision with vehicle,2,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),2,226252,T intersection,3,60,Local Road
T20230020782,5/9/2023,14:43:00,1,Collision with vehicle,2,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,799632,Not at intersection,3,40,Arterial Highway
T20230020799,5/9/2023,17:30:00,1,Collision with vehicle,2,Tuesday,139,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,2,790537,Not at intersection,3,70,Arterial Other
T20230029519,5/9/2023,21:00:00,8,No collision and no object struck,3,Tuesday,172,OFF CARRIAGEWAY TO RIGHT,5,792196,Not at intersection,3,100,Arterial Other
T20230020922,5/9/2023,20:00:00,6,Vehicle overturned (no collision),2,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),2,780407,Not at intersection,3,40,Local Road
T20230020743,5/9/2023,10:30:00,1,Collision with vehicle,2,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,780397,T intersection,3,70,Arterial Other
T20230020794,5/9/2023,17:40:00,1,Collision with vehicle,2,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,243544,Cross intersection,3,60,Local Road
T20230020805,5/9/2023,14:32:00,4,Collision with a fixed object,2,Tuesday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,783307,Not at intersection,3,60,Local Road
T20230020862,6/9/2023,15:41:00,1,Collision with vehicle,3,Wednesday,121,RIGHT THROUGH,1,665580,T intersection,3,60,Local Road
T20230020863,6/9/2023,11:44:00,1,Collision with vehicle,3,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,580288,T intersection,3,60,Arterial Other
T20230020867,6/9/2023,15:07:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,50214,Cross intersection,2,40,Arterial Highway
T20230020868,6/9/2023,15:27:00,2,Struck Pedestrian,4,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,790277,Not at intersection,2,80,Arterial Highway
T20230020870,6/9/2023,13:30:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,270353,Cross intersection,2,50,Local Road
T20230022060,6/9/2023,07:00:00,1,Collision with vehicle,4,Wednesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,2,784451,T intersection,3,60,Arterial Other
T20230020875,6/9/2023,17:40:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,2,780682,Not at intersection,3,40,Arterial Other
T20230021680,6/9/2023,12:00:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,790138,Not at intersection,2,60,Arterial Highway
T20230020902,6/9/2023,23:26:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,796795,Not at intersection,2,60,Arterial Other
T20230020880,6/9/2023,17:09:00,2,Struck Pedestrian,3,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,2,780402,Cross intersection,3,50,Local Road
T20230020882,6/9/2023,18:28:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,3,40700,Cross intersection,3,60,Arterial Other
T20230020885,6/9/2023,17:10:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,794814,Not at intersection,2,60,Local Road
T20230020887,6/9/2023,19:28:00,2,Struck Pedestrian,3,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,2,780404,Cross intersection,3,80,Arterial Other
T20230020889,6/9/2023,15:18:00,2,Struck Pedestrian,3,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,782380,Cross intersection,3,80,Arterial Other
T20230021343,6/9/2023,22:05:00,1,Collision with vehicle,3,Wednesday,121,RIGHT THROUGH,3,781346,T intersection,3,70,Arterial Other
T20230023272,6/9/2023,16:00:00,2,Struck Pedestrian,4,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,796086,Not at intersection,3,40,Local Road
T20230021289,6/9/2023,23:26:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),3,799636,Cross intersection,3,60,Arterial Other
T20230020834,6/9/2023,07:02:00,1,Collision with vehicle,4,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,54383,Cross intersection,3,100,Freeway
T20230020840,6/9/2023,07:05:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),2,780678,Not at intersection,2,80,Freeway
T20230021281,6/9/2023,08:00:00,1,Collision with vehicle,3,Wednesday,121,RIGHT THROUGH,1,706190,T intersection,3,60,Local Road
T20230020898,6/9/2023,15:35:00,6,Vehicle overturned (no collision),4,Wednesday,182,OFF CARRIAGEWAY ON LEFT BEND,1,796089,Not at intersection,2,80,Arterial Other
T20230020842,6/9/2023,06:35:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,2,780401,Not at intersection,3,40,Local Road
T20230020837,6/9/2023,07:20:00,2,Struck Pedestrian,4,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,780400,Cross intersection,2,50,Local Road
T20230020845,6/9/2023,12:10:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,261406,Cross intersection,3,60,Arterial Other
T20230020911,6/9/2023,16:20:00,1,Collision with vehicle,3,Wednesday,130,REAR END(VEHICLES IN SAME LANE),2,780495,T intersection,3,60,Arterial Other
T20230020849,6/9/2023,12:51:00,2,Struck Pedestrian,3,Wednesday,108,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.,1,791644,Not at intersection,3,80,Local Road
T20230023138,6/9/2023,19:25:00,1,Collision with vehicle,3,Wednesday,121,RIGHT THROUGH,3,49256,Cross intersection,3,60,Arterial Highway
T20230020855,6/9/2023,13:17:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,51327,Cross intersection,2,60,Local Road
T20230020856,6/9/2023,11:47:00,1,Collision with vehicle,3,Wednesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,80905,Not at intersection,3,40,Arterial Other
T20230023966,6/9/2023,16:45:00,1,Collision with vehicle,3,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,47091,T intersection,3,60,Arterial Other
T20230020859,6/9/2023,14:20:00,1,Collision with vehicle,3,Wednesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,790140,Not at intersection,3,60,Arterial Other
T20230020963,7/9/2023,16:20:00,8,No collision and no object struck,4,Thursday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,781048,Not at intersection,3,50,Local Road
T20230020926,7/9/2023,11:03:00,1,Collision with vehicle,5,Thursday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,785451,Not at intersection,3,70,Arterial Highway
T20230020924,7/9/2023,08:33:00,2,Struck Pedestrian,5,Thursday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,337564,Cross intersection,2,40,Local Road
T20230020915,7/9/2023,09:10:00,1,Collision with vehicle,5,Thursday,120,HEAD ON (NOT OVERTAKING),2,780594,Not at intersection,2,60,Arterial Other
T20230020974,7/9/2023,17:30:00,4,Collision with a fixed object,5,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,781477,Not at intersection,2,100,Arterial Other
T20230029848,7/9/2023,10:10:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,41267,Cross intersection,3,80,Arterial Highway
T20230020954,7/9/2023,14:25:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,790860,Cross intersection,3,60,Arterial Other
T20230020958,7/9/2023,11:27:00,1,Collision with vehicle,4,Thursday,111,RIGHT FAR (INTERSECTIONS ONLY),1,72296,Y intersection,3,50,Local Road
T20230020945,7/9/2023,13:55:00,1,Collision with vehicle,5,Thursday,132,RIGHT REAR.,1,780837,Not at intersection,3,60,Arterial Other
T20230020944,7/9/2023,13:02:00,8,No collision and no object struck,5,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,792216,Not at intersection,2,60,Arterial Other
T20230020914,7/9/2023,08:30:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,784759,Cross intersection,2,100,Local Road
T20230020939,7/9/2023,10:30:00,1,Collision with vehicle,4,Thursday,121,RIGHT THROUGH,1,113779,Not at intersection,2,50,Arterial Other
T20230020912,7/9/2023,08:00:00,1,Collision with vehicle,5,Thursday,140,U TURN,2,780406,Not at intersection,2,60,Local Road
T20230021661,7/9/2023,09:00:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,790975,Cross intersection,3,80,Arterial Other
T20230022537,7/9/2023,07:30:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),2,782387,Not at intersection,2,100,Freeway
T20230020908,7/9/2023,07:27:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),2,780776,Not at intersection,3,70,Local Road
T20230022523,7/9/2023,19:20:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),2,781875,Y intersection,3,40,Arterial Other
T20230020964,7/9/2023,17:30:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,2,279266,Cross intersection,2,50,Arterial Other
T20230020933,7/9/2023,11:54:00,2,Struck Pedestrian,5,Thursday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,42815,Cross intersection,2,80,Arterial Highway
T20230021251,7/9/2023,20:00:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),3,780669,T intersection,3,80,Arterial Highway
T20230020966,7/9/2023,15:03:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,780665,T intersection,3,50,Local Road
T20230021233,7/9/2023,04:30:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),2,797883,Not at intersection,3,80,Arterial Highway
T20230020991,7/9/2023,04:50:00,1,Collision with vehicle,5,Thursday,120,HEAD ON (NOT OVERTAKING),5,780497,Not at intersection,2,80,Arterial Other
T20230020934,7/9/2023,10:50:00,1,Collision with vehicle,5,Thursday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,799702,Not at intersection,3,60,Local Road
T20230020981,7/9/2023,19:40:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,2,780477,T intersection,2,50,Local Road
T20230021010,7/9/2023,18:00:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),2,780478,Not at intersection,3,80,Arterial Other
T20230020982,7/9/2023,18:00:00,6,Vehicle overturned (no collision),4,Thursday,180,OFF CARRIAGEWAY ON RIGHT BEND,2,783882,Not at intersection,3,100,Arterial Other
T20230020983,7/9/2023,19:22:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,2,780582,Y intersection,3,80,Arterial Highway
T20230020995,7/9/2023,22:00:00,1,Collision with vehicle,5,Thursday,111,RIGHT FAR (INTERSECTIONS ONLY),3,44667,T intersection,2,60,Arterial Other
T20230020975,7/9/2023,18:35:00,2,Struck Pedestrian,5,Thursday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,2,44222,Cross intersection,2,40,Arterial Other
